real_estate_name;group_type;category_type;property_price;property_name;city_name;abbreviation_uf;neighborhood_name;address;bedrooms_number;suites_number;car_vacancies_number;property_area_size;private_property_area;furniture;floor
;Sales;casas;1500000.0;CASA EM IBIAÇA;Ibiaca;RS;Centro;;3;;;344.64;;;
;Sales;casas;1400000.0;CASA GRANDE;Tapejara;RS;Centro;RUA EUGENIO FELINI;4;1;2;840.0;;Semi;
;Sales;casas;1000000.0;VENDE-SE CASA DE ESQUINA NO CENTRO;Tapejara;RS;Centro;Rua do Comércio Esqu. Manoel Teixeira;3;;2;;;;Baixo
;Sales;casas;998000.0;VENDE-SE ÓTIMA CASA  DE ALVENARIA;Tapejara;RS;Centro;rua independencia;4;1;2;419.0;;;
;Sales;casas;980000.0;CASA COM 03 PAVIMENTOS NO LOTEAMENTO COLUSSI;Tapejara;RS;;RUA CEL. LOLICO;3;1;2;;;;
;Sales;casas;900000.0;LOTEAMENTO BIANCHINI NO BAIRRO SÃO PAULO;Tapejara;RS;;RUA CARINO CANALI;5;;3;412.5;;;
;Sales;casas;890000.0;CASA DE ESQUINA NA VILA RICA;Tapejara;RS;Sol Nascente;Rua DR. Celso Domingues;3;;2;480.0;;;
;Sales;casas;890000.0;CASA SEMI-ACABADA A VENDA NO LOT. JARDIM ITÁLIA;Tapejara;RS;Loteamento Jardim Itália;;3;1;2;375.0;;;
;Sales;casas;830000.0;TERRENO COM DUAS CASAS NO BAIRRO SÃO PAULO;Tapejara;RS;São Paulo;TRAVESSA MARSIGLIO;3;;;400.0;;;
;Sales;casas;760000.0;VENDE-SE CASA NO BAIRRO SÃO CRISTÓVÃO;Tapejara;RS;São Cristovão;Rua Antônio Marchiori;3;;3;630.15;;;
;Sales;casas;750000.0;VENDE-SE CASA EM BAIRRO NOBRE DE TAPEJARA;Tapejara;RS;Sol Nascente;RUA SILVA JARDIM;3;;2;;;;
;Sales;casas;750000.0;CASA PRÓXIMA AO CENTRO;Tapejara;RS;Centro;Rua Tranquilo Basso;3;;2;400.0;;Semi;
;Sales;casas;750000.0;VENDE-SE CASA COM ÓTIMA LOCALIZAÇÃO;Tapejara;RS;Nazaré;RUA MANOEL TEIXEIRA;3;;1;;;Semi;
;Sales;casas;730000.0;CASA AMPLA BAIRRO NAZARÉ;Tapejara;RS;Nazaré;RUA TUPINAMBA;4;1;2;350.0;;Semi;
;Sales;casas;700000.0;CASA VILA RICA;Tapejara;RS;Centro;RUA FREDOLINO CHIMANGO;3;1;2;;;;
;Sales;casas;700000.0;VENDE-SE CASA NA VILA RICA;Tapejara;RS;Vila Rica;RUA SILVA JARDIM;3;;1;453.29;;Semi;
;Sales;casas;700000.0;VENDE-SE CASA GRANDE COM 2 PISOS;Tapejara;RS;Centro;RUA ANTONIO XAVIER;5;;1;643.5;;;
;Sales;casas;690000.0;CASA 03 DORM LOT BIANCHINI;Tapejara;RS;Lot Bianchini;rua do comércio;3;;;242.0;;;
;Sales;casas;689000.0;VENDE-SE CASA PRÓXIMA AO HOSPITAL;Tapejara;RS;Centro;;3;;2;148.0;;Semi;
;Sales;casas;680000.0;CASA AMPLA LOT. ZOPPAS;Tapejara;RS;Loteamento Zoppas;RUA SD;4;4;2;600.0;;;
;Sales;casas;680000.0;VENDE-SE CASA PRÓXIMA AO 2º GRAU;Tapejara;RS;Centro;Rua Tranquilo Basso;5;;1;560.0;;;
;Sales;casas;650000.0;CASA MISTA COM 03 DORMITÓRIOS;Tapejara;RS;São Paulo;RUA DO COMÉRCIO;3;;1;624.0;;;
;Sales;casas;620000.0;VENDE-SE CASA DE 2 PISOS EM ESQUINA NO LOT. DAMIN;Tapejara;RS;São Cristovão;;3;;2;225.0;;;
;Sales;casas;600000.0;CASA COM MOBÍLIA NO LOT NAZARÉ;Tapejara;RS;Nazaré;;4;;1;356.99;;;
;Sales;casas;600000.0;VENDE-SE CASA NO SÃO CRISTÓVÃO;Tapejara;RS;;;4;;2;;;;
;Sales;casas;590000.0;CASA DE ESQUINA COM AMPLO TERRENO;Tapejara;RS;;RUA OSWALDO CRUZ;5;;2;500.0;;;
;Sales;casas;480000.0;VENDE-SE CASA NO BAIRRO REAL II;Tapejara;RS;Loteamento Real;RUA ANTONIO MANICA;3;;1;;;;
;Sales;casas;430000.0;TERRENO COM 02 CASAS MISTAS;Tapejara;RS;;PAULINO FERMINO DA SILVA;2;;;240.0;;;
;Sales;casas;430000.0;VENDE-SE CASA EM ALVENARIA NO SOL POENTE;Tapejara;RS;Sol Poente;Rua João Bertoglio;5;;;200.0;;;
;Sales;casas;420000.0;CASA A VENDA NO BAIRRO NAZARÉ;Tapejara;RS;Nazaré;RUA JOÃO MANOEL BERNARDES;2;;2;162.5;;;
;Sales;casas;400000.0;CASA NO LOTEAMENTO FAVARETTO;Tapejara;RS;;RUA ISACO CALEGARI;2;;1;130.2;;;
;Sales;casas;390000.0;VENDE-SE ÓTIMA CASA DE MADEIRA;Tapejara;RS;;R. Primeiro de Maio;2;;;369.2;;Sim;
;Sales;casas;380000.0;CASA DE 2 PAVIMENTOS LOT. REAL 2;Tapejara;RS;Real Ii;Rua Ivonete Baroni;3;1;3;;;;
;Sales;casas;370000.0;CASA 04 DORMITÓRIOS;Tapejara;RS;São Paulo;Rua Padre Raimundo Damin;4;;3;;;;
;Sales;casas;370000.0;CASA DE 2 PAVIMENTOS - BAIRRO SÃO PAULO;Tapejara;RS;São Paulo;Rua Padre Raimundo Damin;3;;2;;;;
;Sales;casas;370000.0;CASA EM CONSTRUÇÃO COM FINALIZAÇÃO EM BREVE;Tapejara;RS;Lot. Araucária;Rua Paolo Merotto;2;;2;252.0;;;
;Sales;casas;370000.0;VENDE-SE CASA GERMINADA EM TAPEJARA ESQUINA;Tapejara;RS;São Paulo - Coohasa 01;;2;;1;;;;
;Sales;casas;370000.0;À VENDA CASA NO BAIRRO SÃO PAULO;Tapejara;RS;São Paulo;RUA JOÃO XXIII;3;;2;198.0;;;Baixo
;Sales;casas;350000.0;VENDE-SE CASA MOBILIADA;Tapejara;RS;;Linha Girardi;2;;;1000.0;;Sim;
;Sales;casas;320000.0;VENDE-SE CASA NO LOT. CASA NOVA;Tapejara;RS;;;2;;1;200.0;;;
;Sales;casas;290000.0;VENDE-SE CASA;Tapejara;RS;;Rua Coronel Gervásio e Arthur Ferraro Filho;2;;1;;;;
;Sales;casas;280000.0;VENDE-SE ÓTIMA CASA NO BAIRRO NAZARÉ;Tapejara;RS;Nazaré;Rua Valeriano uguini;2;;1;187.5;;;
;Sales;casas;250000.0;VENDE-SE ÓTIMA CASA NO BAIRRO SÃO CRISTOVÃO;Tapejara;RS;São Cristovão;Rua Fioravente Rech;2;;2;145.0;;;
;Sales;casas;230000.0;CASA MISTA EM COXILHA;Coxilha;RS;Centro;RUA ITALINO SARTORI;3;;;;;;
;Sales;casas;200000.0;CASA DE ALVENARIA EM COXILHA;Coxilha;RS;Centro;RUA ITALINO SARTORI;3;;;;;;
;Sales;casas;189000.0;CASA DE ESQUINA;Tapejara;RS;;RUA IVANETE BARONI;3;1;1;;;;
;Sales;casas;187000.0;CASA DE MADEIRA NO LOT. BIANCHINI;Tapejara;RS;São Paulo;LOTEAMENTO BIANCHINI;3;;;339.56;;;
;Sales;casas;180000.0;CASA ACONCHEGANTE EM SERVIDÃO;Tapejara;RS;Centro;RUA TRANQUILO BASSO;2;;1;;;;
;Sales;casas;175000.0;VENDE-SE CASA NO LOT. BORGES EM TAPEJARA;Tapejara;RS;;;3;;1;;;;
;Sales;casas;160000.0;CASA DE 03 DORMITÓRIOS NO BAIRRO SÃO PAULO;Tapejara;RS;São Paulo;RUA LOURENÇO DALLOLIVO;3;;1;180.0;;;
;Sales;casas;;CASA DE ESQUINA REAL 02;Tapejara;RS;Real 02;RUA SERGIO NARDI;3;;1;130.0;;Semi;
;Sales;casas;;CASA NOVA COM FINO ACABAMENTO;Tapejara;RS;Centro;RUA ANTONIO XAVIER DE OLIVEIRA;3;3;1;250.0;;;Baixo
;Sales;casas;;CASA DE 02 PISOS COM PAVILHÃO;Tapejara;RS;Centro;RUA CEL GERVASIO;3;;;698.85;;;
;Sales;casas;;CASA SEMI MOBILIADA PRÓXIMA AO MERCADO REAL;Tapejara;RS;Loteamento Real;Rua ANGELO BERTON;2;;1;204.16;;;
;Sales;casas;;ÓTIMA CASA MOBILIADA EM BARRACÃO;Barracao;RS;Conceição;RUA ANIBAL JOSÉ DE PAULA;2;;1;300.0;;Sim;
;Sales;casas;;CASA EM ALVENARIA COM TERRENO;Tapejara;RS;São Cristóvão;RUA ERVILHO BAPTISTA BÉ;2;;;243.0;;;
